,text,sentiment
0,    aw  that's a bummer   you shoulda got david carr of third day to do it   d,ï»¿0
1,is upset that he can't update his facebook by texting it    and might cry as a result  school today also  blah ,0
2, i dived many times for the ball  managed to save    the rest go out of bounds,0
3,my whole body feels itchy and like its on fire ,0
4, no  it's not behaving at all  i'm mad  why am i here  because i can't see you all over there  ,0
5, not the whole crew ,0
6,need a hug ,0
7, hey  long time no see  yes   rains a bit  only a bit  lol   i'm fine thanks   how's you  ,0
8, nope they didn't have it ,0
9, que me muera   ,0
10,spring break in plain city    it's snowing ,0
11,i just re pierced my ears ,0
12, i couldn't bear to watch it   and i thought the ua loss was embarrassing          ,0
13, it it counts  idk why i did either  you never talk to me anymore ,0
14, i would've been the first  but i didn't have a gun     not really though  zac snyder's just a doucheclown ,0
15, i wish i got to watch it with you   i miss you and   how was the premiere  ,0
16,hollis' death scene will hurt me severely to watch on film  wry is directors cut not out now ,0
17,about to file taxes ,0
18, ahh ive always wanted to see rent  love the soundtrack  ,0
19, oh dear  were you drinking out of the forgotten table drinks  ,0
20, i was out most of the day so didn't get much done ,0
21,one of my friend called me  and asked to meet with her at mid valley today   but i've no time  sigh  ,0
22, i baked you a cake but i ated it ,0
23,this week is not going as i had hoped ,0
24,blagh class at  tomorrow ,0
25,i hate when i have to call and wake people up ,0
26,just going to cry myself to sleep after watching marley and me   ,0
27,im sad now  miss lilly,0
28,oh     lol  that leslie     and ok i won't do it again so leslie won't  get mad again ,0
29,meh    almost lover is the exception    this track gets me depressed every time  ,0
30,some hacked my account on aim  now i have to make a new one,0
31, i want to go to promote gear and groove but unfornately no ride there  i may b going to the one in anaheim in may though,0
32,thought sleeping in was an option tomorrow but realizing that it now is not  evaluations in the morning and work in the afternoon  ,0
33, awe i love you too      am here  i miss you,0
34, i cry my asian eyes to sleep at night ,0
35,ok i'm sick and spent an hour sitting in the shower cause i was too sick to stand and held back the puke like a champ  bed now ,0
36, ill tell ya the story later  not a good day and ill be workin for like three more hours   ,0
37, sorry  bed time came here  gmt     ,0
38, i don't either  its depressing  i don't think i even want to know about the kids in suitcases  ,0
39,bed  class    work    gym   or   then class    another day that's gonna fly by  i miss my girlfriend ,0
40,really don't feel like getting up today    but got to study to for tomorrows practical exam    ,0
41,he's the reason for the teardrops on my guitar the only one who has enough of me to break my heart ,0
42,sad  sad  sad  i don't know why but i hate this feeling  i wanna sleep and i still can't ,0
43, aw i soo wish i was there to see you finally comfortable  im sad that i missed it ,0
44,falling asleep  just heard about that tracy girl's body being found  how sad  my heart breaks for that family ,0
45, yay  i'm happy for you with your job  but that also means less time for me and you    ,0
46,just checked my user timeline on my blackberry  it looks like the twanking is still happening  are ppl still having probs w  bgs and uids ,0
47,oh man   was ironing  fave top to wear to a meeting  burnt it ,0
48,is strangely sad about lilo and samro breaking up  ,0
49, oh  i'm so sorry  i didn't think about that before retweeting ,0
50,broadband plan 'a massive broken promise'  via w diigo com  tautao still waiting for broadband we are ,0
51, wow  tons of replies from you  may have to unfollow so i can see my friends' tweets  you're scrolling the feed a lot  ,0
52,our duck and chicken are taking way too long to hatch ,0
53,put vacation photos online a few yrs ago  pc crashed  and now i forget the name of the site  ,0
54,i need a hug ,0
55, not sure what they are  only that they are pos  as much as i want to  i dont think can trade away company assets sorry andy  ,0
56, i hate when that happens    ,0
57,i have a sad feeling that dallas is not going to show up  i gotta say though  you'd think more shows would use music from the game  m,0
58,ugh     degrees tomorrow ,0
59,where did u move to   i thought u were already in sd     hm  random u found me  glad to hear yer doing well ,0
60, i miss my ps  it's out of commission  wutcha playing  have you copped 'blood on the sand' ,0
61,just leaving the parking lot of work  ,0
62,the life is cool  but not for me  ,0
63,sadly though  i've never gotten to experience the post coitus cigarette before  and now i never will  ,0
64,i had such a nice day  too bad the rain comes in tomorrow at am ,0
65, too bad i won't be around i lost my job and can't even pay my phone bill lmao aw shucks ,0
66,damm back to school tomorrow ,0
67,mo jobs  no money   how in the hell is min wage here  f'n clams an hour ,0
68,  not forever    see you soon ,0
69, agreed  i saw the failwhale al day today  ,0
70, oh  haha    dude i dont really look at em unless someone says hey i added you  sorry  i'm so terrible at that  i need a pop up ,0
71, i'm sure you're right       i need to start working out with you and the nikster    or jared at least ,0
72,i really hate how people diss my bands   trace is clearly not ugly ,0
73,gym attire today was  puma singlet  adidas shorts       and black business socks and leather shoes  lucky did not run into any cute girls ,0
74,why won't you show my location     ,0
75,no picnic  my phone smells like citrus ,0
76, my donkey is sensitive about such comments  nevertheless  he'd  and me'd  be glad to see your mug asap  charger is still awol  ,0
77,no new csi tonight   fml,0
78,i think my arms are sore from tennis ,0
79,wonders why someone that u like so much can make you so unhappy in a split seccond   depressed   ,0
80,sleep soon    i just hate saying bye and see you tomorrow for the night  ,0
81, just got ur newsletter  those fares really are unbelievable  shame i already booked and paid for mine ,0
82,missin' the boo ,0
83, me too  itm,0
84,damn    i don't have any chalk  my chalkboard is useless ,0
85,had a blast at the getty villa  but hates that she's had a sore throat all day  it's just getting worse too ,0
86, hey missed ya at the meeting  sup mama,0
87,my tummy hurts   i wonder if the hypnosis has anything to do with it  if so  it's working  i get it  stop smoking   ,0
88,why is it always the fat ones   ,0
89, sorry  babe    my fam annoys me too  thankfully  they're asleep right now  muahaha   evil laugh ,0
90, i should have paid more attention when we covered photoshop in my webpage design class in undergrad ,0
91,wednesday my b day  don't know what  do   ,0
92,poor cameron  the hills  ,0
93,pray for me please  the ex is threatening to start sh   at my our babies st birthday party  what a jerk  and i still have a headache ,0
94, hmm    do u really enjoy being with him   if the problems are too constants u should think things more   find someone ulike,0
95,strider is a sick little puppy  ,0
96,so rylee grace   wana go steve's party or not   sadly since its easter i wnt b able  do much  but ohh well     ,0
97,hey  i actually won one of my bracket pools  too bad it wasn't the one for money ,0
98, you don't follow me  either  and i work for you ,0
99,a bad nite for the favorite teams  astros and spartans lose   the nite out with t w  was good ,0
100, body of missing northern calif  girl found  police have found the remains of a missing northern california girl    ,0
101, i hope they will increase the capacity fast  yesterday was such a pain  got the fail whale   times in  hours     ,0
102,behind on my classes for work ,0
103,watching  quot house quot  ,0
104, remember my bum leg  strikes back this time its serious ,0
105, cool  i will  their are all kinds of complaints about this laptop online about overheating  but no recalls ,0
106,emily will be glad when mommy is done training at her new job  she misses her   ,0
107,would rather the first party send bad messages than the rd party send mixed ones  sophmore year all over again ,0
108, it's overrated ,0
109, i know  i heard it this afternoon and wondered the same thing  moscow is so behind the times ,0
110,laying in bed with no voice   ,0
111,i'm so sad    they killed off kutner on house  why,0
112, sorry  tell them mea culpa from me and that i really am sorry ,0
113, it didn't make any sense to me  the suicide thing  i refuse to believe that that is actually what happened  ,0
114,  hope your ok ,0
115, damn  the grind is inspirational and saddening at the same time   don't want you to stop cuz i like what u do  much love,0
116, yeah aw but i know i wudnt stand a chance ,0
117,ugh  cant sleep  its  am  ,0
118,hanging in crooners  wanna sing  can't  sucks  ,0
119, aaw i miss ya all too   im leaving to bh tomorrow  quot morning quot  i think   aww i wanna go to the beach w u girls   ,0
120,is pissed off that there's no asba's for a radio station  ,0
121,wednesday my b day n don't know what  do   ,0
122,i know my life has been flipped upside down when i just thought in my head that some ramen sounds good  ,0
123,i am in pain  my back and sides hurt  not to mention crying is made of fail  ,0
124,late night snack  glass of oj b c i'm  quot down with the sickness quot   then back to sleep   ugh i hate getting sick    ,0
125, but   but   but   i'm not a big fan on camilla belle ,0
126, wah i can't see clip  must be el stupido work filters  can't wait 'till i get a 'puter  something else  blame ex   he broke mine ,0
127,this week just seems to get longer and longer in terms of how much i need to do   and how much i'm actually going to get done ,0
128,i'm so cold ,0
129, eh don't  weather's gonna take a turn for the ugly tomorrow ,0
130, haha its so cold in the d  and no  but you should still go to the show  they do some incredible stuff,0
131,hoping the tummy rumbles go away soon ,0
132, no  no notice  they told me i'd be working tomorrow  and then i called the agency to follow up and they said it was over  ,0
133,almost bedtime ,0
134,i'm missing you babe    but as long as your alive i'm happy   yawnn   i'm tired my love imma try to sleep hopefully you had a headstart,0
135,agh   snow    ,0
136,i miss kenny powers ,0
137, thank you for letting people know  but now i'm sad that the direct message i got wasn't actually from bridget ,0
138,   and  india missed out its th test victory n th consecutive win without a loss  ,0
139, i guess that's a no then  ,0
140,sadly is going to bed  ,0
141, shame to hear this stephan ,0
142, hey  i'm leavin in the morning    ,0
143,was intending to finish editing my  page novel manuscript tonight  but that will probably not happen  and only  pages are left ,0
144,laid around too much today    now my head hurts ,0
145, i still haven't read the th amp th princess diaries  saving francesca made me cry at the end  hmm those are easy books ,0
146,my nokia  died    ,0
147,my mom might have breast cancer won't find out anything for  like a week i'm so worried  ,0
148,going to sleep  hoping tomorrow is a better day  ,0
149, lol   wish they understood daylight savings has ended though and breakfast is an hour later  they keep waking the kids up too,0
150, that is lame ,0
151,i don't understand    i really don't ,0
152,heroes just isn't doing it for me this season    ,0
153,living not downtown sure isn't much fun   ,0
154, not calorie wise   i wish junk food was calorie free  i ate a thing of sour skittles and a big ass cherry coke ,0
155,man work is hard ,0
156,getting sick  time for some hot tea  studying  and then slep,0
157,getting eyebrows waxed  more pain ,0
158,no phantasy star yesterday  going to work   ,0
159,oh   just got all my macheist   apps   sweet  didn't get the espresso serial no though although they said they sent it   oh well ,0
160,picked mich st to win it all from the get go   was feeling pretty good about that pick all the way up until      tonight   a's lost too ,0
161,is alone downstairs   working ,0
162,i feel bad for doing it ,0
163, is it just me  or she hates anoop  i mean seriously  she's kinda mean to him  ,0
164, yes sprint has g only in baltimore and chicago so far ,0
165,i'm stuck awake in the middle of the night for the second day in a row  and i felt terrible yesterday  ,0
166,thanks for bursting my bubble ,0
167,going to school soon    can't find anything to wear   gosh it's so hard ,0
168, i was serious  lol,0
169, i had on my page for so long    until it got deleted  sad day in history,0
170,crazy wind today   no birding  ,0
171,currently at work   ,0
172,gr   my ipods acting weird too  jai ho and thinking of you aren't playing the full songs   ughh  ,0
173, send me the dvd cos i have missed out on heaps  not happy about that ,0
174,i don't see the big deal with this website ,0
175, i'm so sorry you're having to go through this  again   therapyfail,0
176, far too out of the way for rail   any other tips ,0
177,i'm not still up i swear  why do i keep losing  gaining  losing  gaining  tweeps   so heart wrenching ,0
178,today i realized i am too good at hiding things  even i can't find it ,0
179,staying at a friends house   house sitting  neighbors are so loud having a party ,0
180, danny im upset that i wasnt here to watch the live chat  i was in a car  for  hours on a trip im so upset  ,0
181,check out my mug   obscura blogspot com,0
182,borders closed at  ,0
183,downloading nin's new album  quot the slip quot    when the hell did this come out  i'm so behind the times these days ,0
184,just woke up an already have written some e mail    i've to go early at university today as i have to teach at   am  ,0
185,is watching the hill      and its making me sad ,0
186,so many channels     yet so so boring    lazy day again  may have to find a hobby,0
187, i miss my buddy  ill be in ny on the th,0
188,  love the french  i tell people here in the south i'm qtr  french and they snarl at me   french are beautiful people,0
189,opps   as i said   i still got one day remain and now problem come ,0
190,i activated my selfcontrol block early  meaning i can't check out the new qc   regularizing my internal clock is might be difficult  fb,0
191,  oh no,0
192,spencer is not a good guy  ,0
193, what about reese dying on ttsc  and season finale next week    boring  madame president is a crazy woman ,0
194, i hate the limited letters too hope you and the guys are fine i pray for my dog sheã¯â¿â½s not well ,0
195,didn't get shit done today   i'm so screwed ,0
196,wanttss to go out ,0
197,is not going to sleep tonite  ,0
198,too worried and tired to post tonight ,0
199,couldn't get shit done today   i'm so screwed ,0
200,job interview in cardiff today  wish me luck  got about  hours sleep ,0
201, your show is whack  way worse than whack  it's wiggety whack              ,0
202, i really don't think people choose to be that way  but i think he chose not to accept my family's help   he might be dead by now,0
203, you're going to kill me  but i've not seen ds  i've been waiting till i can do it in one solid week sitting  ,0
204, i think ur right   hahaha     hrs now   ,0
205,i hate to see the spartans so sad ,0
206,my mind and body are severely protesting this  quot getting up quot   thing  had nightmares to boot ,0
207, i'm goin' to follow u  since u didn't  lol  go angels ,0
208, i think i want to read some books but the library doesn't have them ,0
209,my nap was interrupted so many times today  going out for japanese with the 'rents again   ,0
210,kind of longs for the bus that shows up at the end of ghost world right now  ugh  ,0
211, but this is canada  canada is weird  we're supposed to get snow through wednesday  ugh ,0
212,awwh babs    you look so sad underneith that shop entrance of  quot yesterday's musik quot   o   i like the look of the new transformer movie ,0
213,sad that the 'feet' of my macbook just fell off ,0
214,i'm gonna get up late tomorrow and it's am here  i gonna get tipsy by my lonesome  that's   that's just sad ,0
215,i'm sweating my forthcoming trip to e   if i can't find someone to crash with while i'm out there  i may be screwed   ,0
216,has now gotten somebody to read his tweets  but cant get them to make an account  ,0
217,  omgawd i couldnt handle my cat being in heat all the time d  d ,0
218, i hope i can make it to the auburn show  but its not looking good for me ,0
219,  thats people mag haha i couldnt fit it all in   i dont think those pictures ever made it in the magazine tho   haha,0
220, congrats    i totally forgot to submit photos ,0
221, aw  good luck paula   please don't work too hard  but i hope you have fun  your new album is gonna be amazing   x,0
222, now your leaving me        gets sad ,0
223,i miss you twitter  my phone broke  now i'm using a stupid nokia phone  ugh  i miss my advance phone  ,0
224,shooting outside my house  o not kidding  so scared ,0
225,tuesdayã¯â¿â½ll start with reflection ã¯â¿â½n then a lecture in stress reducing techniques  that sure might become very useful for us accompaniers ,0
226,what tragedy and disaster in the news this week ,0
227,yes yes still trying to find a picture that will upload correclty   ,0
228,why oh why was the red sox game rained out  i was so looking forward to opening day ,0
229,i still can't find my keys  ,0
230, i know right  i dunno what is going on with twitter  ,0
231,might be getting a sore throat again ,0
232,   my home town  my mammy called all depressd   pls explain y a parent let their yr old child walk alone  hello  its  ,0
233,   i think i need to find better anti depressants   i think this paxil wellbutrin combo is losing its efficacy   ,0
234, restaurant called woodntap has competitive eating tourney round tourney time  we place nd ,0
235,is in the bathroom    wake up lakin  ,0
236, i want tacos and margarhitas  tel gay i say hello lt ,0
237,im lonely  keep me company   female  california,0
238,bad day at the betfair office ,0
239,i miss him   can't wait to celebrate the tar heel win this weekend though  ,0
240,i'm really cold  i don't want to go to sleep yet but there's nothing to do ,0
241, is this it  u  its ' officially over '  me this go round  ,0
242,monkeys    i just found out you my twin and you wont even write back   i'm heartbroken,0
243, aww  i know i felt like that yesterday at work ,0
244, treaty isn't defined ,0
245,missed brent at praise band    no fun to not have the your lead guitarist    lt pout gt ,0
246, poor john  this is what happens when you play with fruit and a microwave  seriously though have you seen a doctor   x,0
247,missing my bff  watching home and away it reminds me of her and me  we  lt  it  shout out to u courts,0
248,   ,0
249,new video card is doa  ,0
250,feeling lost  naked and confused  jk  sort of      no iphone for me  ,0
251,damn i am so late at filling this appraisal form  people have almost sent it    i was so occupied in work ,0
